puzzle,h1-tree_depth,h1-explored_nodes,h1-fringe_max,h2-tree_depth,h2-explored_nodes,h2-fringe_max,h3-tree_depth,h3-explored_nodes,h3-fringe_max,h4-tree_depth,h4-explored_nodes,h4-fringe_max
"[3, 1, 4, 8, 6, 2, 0, 7, 5]",14,556,346,14,201,125,14,196,122,14,264,165
"[7, 4, 2, 3, 0, 5, 1, 6, 8]",14,788,490,14,294,186,14,260,163,14,378,238
"[1, 4, 2, 7, 0, 5, 3, 6, 8]",6,37,24,6,26,17,6,26,17,6,26,17
"[3, 1, 2, 6, 0, 7, 8, 4, 5]",10,126,81,10,72,46,10,72,46,10,72,46
"[1, 4, 2, 3, 7, 5, 0, 6, 8]",4,14,9,4,14,9,4,14,9,4,14,9
"[3, 2, 5, 6, 0, 8, 1, 4, 7]",12,307,194,12,81,52,12,81,52,12,109,70
"[7, 3, 1, 6, 0, 2, 4, 8, 5]",14,763,473,14,237,150,14,205,129,14,314,197
"[0, 4, 1, 3, 6, 2, 8, 5, 7]",16,1471,911,16,445,275,16,417,260,16,582,362
"[2, 3, 5, 1, 0, 8, 6, 4, 7]",10,121,77,10,44,28,10,44,28,10,47,30
"[4, 3, 2, 1, 0, 5, 6, 7, 8]",6,45,29,6,35,23,6,35,23,6,35,23
"[0, 2, 5, 1, 6, 4, 7, 3, 8]",10,82,52,10,41,26,10,41,26,10,41,26
"[0, 4, 2, 1, 6, 5, 7, 3, 8]",8,56,36,8,34,22,8,31,20,8,31,20
"[1, 4, 0, 6, 5, 2, 7, 3, 8]",8,42,27,8,31,20,8,31,20,8,31,20
"[3, 1, 2, 4, 0, 5, 6, 7, 8]",2,9,6,2,9,6,2,9,6,2,9,6
"[1, 4, 2, 6, 3, 5, 0, 7, 8]",4,14,9,4,14,9,4,14,9,4,14,9
"[0, 2, 5, 1, 3, 8, 6, 4, 7]",8,27,17,8,24,15,8,24,15,8,24,15
"[3, 1, 2, 6, 0, 4, 7, 8, 5]",6,19,12,6,19,12,6,19,12,6,19,12
"[6, 3, 1, 4, 0, 2, 7, 8, 5]",10,104,66,10,44,27,10,44,27,10,51,32
"[6, 3, 0, 2, 1, 5, 7, 4, 8]",14,535,332,14,139,87,14,116,73,14,204,128
"[0, 2, 4, 1, 5, 7, 3, 6, 8]",14,668,417,14,247,156,14,226,143,14,299,188
"[1, 4, 2, 3, 8, 7, 6, 5, 0]",8,53,33,8,49,31,8,49,31,8,49,31
"[3, 1, 2, 4, 7, 5, 0, 6, 8]",4,14,9,4,14,9,4,14,9,4,14,9
"[0, 3, 2, 6, 1, 5, 7, 4, 8]",6,22,14,6,19,12,6,19,12,6,19,12
"[3, 5, 0, 1, 2, 8, 4, 6, 7]",12,162,102,12,43,27,12,38,24,12,38,24
"[1, 7, 2, 5, 0, 8, 3, 4, 6]",14,766,478,14,192,121,14,192,121,14,321,201
"[3, 1, 2, 4, 7, 5, 6, 8, 0]",4,14,9,4,14,9,4,14,9,4,14,9
"[2, 1, 5, 4, 8, 7, 6, 3, 0]",16,1423,882,16,451,281,16,407,253,16,590,369
"[3, 2, 5, 4, 7, 1, 6, 8, 0]",8,45,29,8,31,20,8,31,20,8,31,20
"[4, 3, 1, 5, 0, 2, 6, 7, 8]",8,75,48,8,36,23,8,36,23,8,40,26
"[0, 1, 2, 3, 7, 5, 4, 6, 8]",6,30,20,6,22,14,6,22,14,6,22,14
"[8, 5, 1, 3, 0, 2, 4, 6, 7]",16,1840,1138,16,363,225,16,274,170,16,557,345
"[0, 2, 5, 1, 3, 4, 6, 7, 8]",6,22,14,6,19,12,6,19,12,6,19,12
"[1, 4, 2, 6, 0, 5, 7, 3, 8]",6,32,21,6,26,17,6,26,17,6,26,17
"[3, 1, 5, 2, 7, 4, 0, 6, 8]",10,122,77,10,53,33,10,53,33,10,65,41
"[3, 1, 0, 6, 4, 2, 7, 8, 5]",6,17,10,6,17,10,6,17,10,6,17,10
"[3, 1, 2, 6, 4, 5, 7, 8, 0]",4,12,7,4,12,7,4,12,7,4,12,7
"[3, 1, 2, 6, 0, 4, 7, 8, 5]",6,19,12,6,19,12,6,19,12,6,19,12
